Sample_Size,Replication,U_MSE,L_MSE,Sigma_MSE,lat_MSE,lon_MSE,rot_MSE
1000,17,0.011186038,7.216427,0.02656561505227728,8.534781910253587,7.564677098414116,0.04488536894621716
1000,18,0.012450087,6.771219,0.031848525423129104,7.611975564340646,6.67652700532329,0.05963602247701877
1000,19,0.011188835,7.2165813,0.026565148737290656,8.498026958643024,7.559554265228514,0.049250271133437745
1000,20,0.011212061,7.3513107,0.0259454999652462,7.6674225738370705,6.121728941772383,0.07095353470230485
5000,1,0.0086758025,1.4105934,2.4338013645319734e-05,7.006723362945537,8.060418857730856,0.0686400786921591
5000,2,0.008661629,1.6594225,0.00020720911925309338,6.904326805106471,8.406085926719074,0.08241971942201261
5000,3,0.008661803,1.659387,0.0002072365759886452,6.904326805106471,8.406085926719074,0.08241971942201261
5000,4,0.008559027,1.5474277,0.00021788626690977253,7.64267990570324,8.619736850173123,0.06265797688311105
5000,5,0.008552987,1.548848,0.00021743603065260686,7.6591983462496875,8.619736850173123,0.06265797688311105
5000,6,0.008856747,1.3432679,2.8736068088619504e-05,7.001675597450112,8.060418857730856,0.06898179123837415
5000,7,0.0029675523,6.906088,0.009741416805809422,7.602606734556707,8.506404831932063,0.05841943632033598
5000,8,0.0029678922,6.9059005,0.009741605059389258,7.602606734556707,8.506404831932063,0.05841943632033598
5000,9,0.008256526,1.5664163,6.642414155066945e-05,7.6591983462496875,8.619736850173123,0.06265797688311105
5000,10,0.00885615,1.3432841,2.875140694413858e-05,7.001675597450112,8.060418857730856,0.06898179123837415
5000,11,0.008661988,1.6594366,0.0002072228473934956,6.904326805106471,8.406085926719074,0.08241971942201261
5000,12,0.008554644,1.5487761,0.0002174641567762592,7.6591983462496875,8.619736850173123,0.06265797688311105
5000,13,0.008675475,1.4105626,2.4338013645319734e-05,7.006723362945537,8.060418857730856,0.0686400786921591
5000,14,0.008857668,1.3433386,2.8730956046274514e-05,7.001675597450112,8.060418857730856,0.06898179123837415
5000,15,0.008978917,1.5972495,0.00022635702043771744,6.904326805106471,8.406085926719074,0.08241971942201261
5000,16,0.008312737,1.5215378,0.0002039411358509824,7.123760630127472,8.060594459617954,0.05923560208908674
5000,17,0.0089651495,1.6088781,0.00021653695512213744,6.721345753884694,7.858941800807972,0.08241971942201261
5000,18,0.008384513,1.4992533,0.00022170367537910352,7.368752155329746,8.454321359606375,0.05923560208908674
5000,19,0.008558241,1.5472897,0.00021785811350127915,7.64267990570324,8.619736850173123,0.06265797688311105
5000,20,0.008661593,1.6594534,0.00020725030503854214,6.904326805106471,8.406085926719074,0.08241971942201261
10000,1,0.0034683708,2.2385604,0.0013545490801334381,7.1459308874863225,13.178361002451293,0.041103803506462123
10000,2,0.0022825932,3.091976,0.00287140895329685,7.060389893127317,6.800195519206214,0.06976213028837884
10000,3,0.0018823631,2.3198454,0.004021831502768691,9.356136302475658,8.620594057956836,0.05292548414819599
10000,4,0.0023995636,2.2308648,0.0024765187154116575,7.2945413402270205,7.22544427367611,0.05509556074482197
10000,5,0.0023930431,3.6107647,0.0025741850558915758,6.261979263101224,5.426209305431717,0.047427819900981945
10000,6,0.0029542912,1.6733721,0.004403396035058904,8.060970285873283,8.858476773720854,0.08341896879914985
10000,7,0.0021370258,2.1842782,0.0021094251135309605,9.356136302475658,8.620594057956836,0.05292548414819599
10000,8,0.0024131944,2.1833565,0.001823844250793627,6.90037201587534,5.0050476647976385,0.03016313303137271
10000,9,0.0036879724,2.3704445,0.001249004857527325,5.841017521744692,6.480545817628817,0.07926342373996315
10000,10,0.002999185,1.9716011,0.004352662672545193,8.640900690854561,19.590112202580084,0.047244086204399766
10000,11,0.0036877478,2.370499,0.001249038561809357,5.841017521744692,6.480545817628817,0.07926342373996315
10000,12,0.0023976527,2.30393,0.002436107270341381,7.060389893127317,7.037770847126712,0.04900086805812511
10000,13,0.003687042,2.3707204,0.0012488700449466705,5.841017521744692,6.480545817628817,0.07926342373996315
10000,14,0.0016824397,2.3559806,0.004015725338831544,9.356136302475658,8.620594057956836,0.05292548414819599
10000,15,0.0022308177,1.9751811,0.002502403836842859,7.058672596707321,7.947722936057501,0.06313013666339208
10000,16,0.002360131,3.0484593,0.0028911173658343614,7.2945413402270205,6.79540721389459,0.09054063655768309
10000,17,0.0023380488,2.8769248,0.0030121963848159794,7.058672596707321,7.947722936057501,0.046023048651242335
10000,18,0.002107328,2.1845782,0.0021068854314307828,9.328476537157481,8.620594057956836,0.06439805574262927
10000,19,0.0019870694,3.8163319,0.002065808331281005,5.4924332088320424,5.265648109135225,0.01699227256027391
10000,20,0.0017493594,2.0305223,0.0008223695658671204,5.255723309912884,8.818876713355282,0.06095948179424795
